name,rating,reviews,image
1. Takeshii’s,4.5,(51 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/VwFfKgMB10KXZS6QAoj7OA/348s.jpg
2. Ramen 8,4.2,(22 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/mxdyZXgpZF_nQG0h0fgKng/348s.jpg
3. Injeera,4.5,(74 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/FPKcqhYdnOQ-__YCRNATyw/348s.jpg
4. Gaststätte Schlesinger,4.5,(35 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/9kijHK6eu1NtFhoZ_YYl8A/348s.jpg
5. Topfgucker,4.8,(4 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/mlDQYnY3oWoYqdNWs569-Q/348s.jpg
6. Burreatos,4.1,(38 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/NkhdnCbNoTZLdxGCD6yMHw/348s.jpg
7. Mögle,4.5,(23 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/DqJH6f9EuCyyyPIhgtMhXA/348s.jpg
8. Yakiniku,4.4,(36 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/QL2L6Zw_GwHqL8F7ynTxRw/348s.jpg
9. Los Locos Latinos,5.0,(7 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/-rb0AjT3uU-Lpx1hEcOCXw/348s.jpg
10. Buschpilot,4.8,(16 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/O-p1Ia7F-_HpsCeJYp12Jw/348s.jpg
"11. d.carlos portugiesisches restaurant, Mitte-Süd, Stuttgart",4.5,(4 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/LQTrjG6MjRc1ZKJvDEgOwA/348s.jpg
12. Il Pomodoro,4.3,(119 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/pk-g7IBNHtYYOo8IOgX9Tw/348s.jpg
13. Stäffele,4.0,(46 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/s-5u1np_NQ3wPfEWiqUulA/348s.jpg
14. Shabu Shabu,3.6,(63 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/NWhzCK4HexEKjFeZINBVaw/348s.jpg
15. Pho à la Mama,4.3,(15 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/8nnb45CVbq59dbgK0da2qQ/348s.jpg
16. Christophorus,4.8,(43 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/6BF33FvWzf8s-JPB2amYEg/348s.jpg
17. Das Reiskorn,4.0,(97 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/bMvKspj2SkBj-W12P0vw9A/348s.jpg
18. Mandu,4.0,(26 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/HjzGQXYeOD-oQ6KXripfZQ/348s.jpg
19. Patrick’s Stop,4.8,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/fOZy_STkGcEre-1Fnl_jSA/348s.jpg
20. [m]eatery,3.9,(75 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/11pGiyDy_hhnkhWLi2Dd5w/348s.jpg
21. Frittenwerk,4.5,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/qUBkZD66hU2jJylNCf1GEQ/348s.jpg
22. Jose y Joséfina,5.0,(3 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/Azkzlau8SCWnEB5RbRmmHg/348s.jpg
23. Thios Inn,4.5,(6 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/3JdpQCEiEJPdXkuyLO7Veg/348s.jpg
24. The Legend of Floating Market,4.7,(3 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/OCNBhgtz0dmuNZiZQDLkpQ/348s.jpg
25. Italiani,4.4,(11 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/RPDGAuOpOm9CDuu13xsB5Q/348s.jpg
26. Ruppmannschänke,4.4,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/o8B5K43FDSW6hzinI1eO0w/348s.jpg
27. Weinstube Kachelofen,4.3,(39 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/5wTeGTi-b5fz9_aCpJ79OQ/348s.jpg
28. Wirtshaus Zur alten Schmiede,4.8,(9 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/mDHsdhKpEQVDqhU61iDSHg/348s.jpg
29. Attimi,4.7,(16 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/NljQKVWl1kBi3XwtKkHlUg/348s.jpg
30. Wangener Besahex,4.7,(12 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/MiwSIggoGgsLoYH822mGrQ/348s.jpg
31. L´Artista,5.0,(4 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/wVI3Seey9JAJz7_I5X59bQ/348s.jpg
32. Houstons Fine Burrito Company,4.0,(4 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/O08G-kgkzVe0aPyobyy2NA/348s.jpg
33. L.A. Signorina,4.1,(22 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/twLq4l-qJKmZG6jhma8l1Q/348s.jpg
34. The Burger Republic,3.8,(37 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/nM4itdALKmipk405lzKuQA/348s.jpg
35. Le Pastis,4.7,(33 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/Ru8bMYPZvvvumDi83y7AMg/348s.jpg
36. Gasthaus Bären,4.5,(2 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/PX8BByCScYDqd-0PCVIf-A/348s.jpg
37. Sichuan,4.7,(9 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/72wcJWKa15QDH0tvaogTJg/348s.jpg
38. Gaststätte Alte Hupe,4.8,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/CYqVW4WG4T8hSUCN41bPAA/348s.jpg
39. ABACCO’S STEAKHOUSE,3.5,(34 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/FM4rybxfup_pRlkhns-z8g/348s.jpg
40. Osteria Tra Noi,4.5,(21 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/yWXqvI2-AiTvm1m3L2qufA/348s.jpg
41. Jake’s Diner Bar,4.4,(7 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/-niWrYxudX5j9u-HH1Eazw/348s.jpg
42. Safran,4.6,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/5EEpYSwa6IQvlgvPnYB9uA/348s.jpg
43. Der Rote Hirsch,4.6,(16 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/McaSzzBqyfwbABaioCRVSA/348s.jpg
44. Brauereigaststätte Dinkelacker,4.1,(26 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/lgO7YBdsDgUAKTv0RKSVHA/348s.jpg
45. Persian Restaurant,4.2,(42 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/_3DAtSvMhZm8U-F-nCX6WQ/348s.jpg
46. Momentos,4.3,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/BvpkqVl_4pmUqZTfVKrAWQ/348s.jpg
47. Restaurant LE,4.8,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/3E-n5iT5odFVRzpeRICwVA/348s.jpg
48. The Greek Taste,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/-mxenka5OLH9HyZ-6GAjUw/348s.jpg
49. Gravity,4.5,(4 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/J0sePkYoNVn_cZ1Q5wVg-Q/348s.jpg
50. New Shanghai Restaurant,3.8,(28 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/-4n6KSAZ-1RtNQOU-pzSWw/348s.jpg
51. Délice,5.0,(13 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/IFtT_gDDBJ7mQ4cUh-WkGg/348s.jpg
52. Dionyssos Im Hirsch,4.3,(40 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/hV55Uc2p9TaMqd9Z8m0hnQ/348s.jpg
53. Eat Drink Man Woman,3.6,(54 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/4aXf0Cvb56l5_agtrFyFUw/348s.jpg
54. Sportrestaurant Im Neckarpark,4.8,(12 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/L0-ikoLxkczGHr31L4NA0A/348s.jpg
55. Weinstube Klösterle,4.3,(43 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/lbI_WRDCtm9U-9goqhwphg/348s.jpg
56. Noodle 1 Dining,3.9,(114 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/c9tWc_od5rn_FMWcMl3jSg/348s.jpg
57. Zum Ackerbürger,4.6,(39 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/t8DMoXngRlVNQDbEFCJB0Q/348s.jpg
58. YoSH,4.6,(21 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/q-1xSv8g62ME2vN2eMgZwQ/348s.jpg
59. YAFA,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/sGydFGlzE8Udm1A5xF3EkQ/348s.jpg
60. Fleischmann,4.7,(7 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/KxtJLZ2n2D63iHUZpiUpvg/348s.jpg
61. Thai Orchidee,4.8,(9 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/qwVAOeHuF5uDlI9R6TpsRg/348s.jpg
62. China Palast,4.2,(45 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/atagDKJb65C4jUJ8hOlywQ/348s.jpg
63. Kleinschmeckerei,4.1,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/SzfTQoaPlmtRwEnkb7RRJQ/348s.jpg
64. DOs,4.1,(16 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/wzsR3JiMzl7nEobpb3MzxA/348s.jpg
65. Hiami Sushi Bar,4.3,(27 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/mwpymIEptD5YCLGHOLfxGg/348s.jpg
66. Drei Mohren,3.6,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/mrvuk5ejl-gC8IGNHgzF-g/348s.jpg
67. Palm Beach,3.0,(62 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/3d3MNy2DJa92MFO1Q04S5A/348s.jpg
68. KeltenFürst,4.5,(23 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/-3t7PofKlFTAGOAbCnJw3g/348s.jpg
69. Gaststätte Lamm,5.0,(2 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/TA5ESjy3A5YYML0aziRgBA/348s.jpg
70. Cube,4.0,(123 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/vF24jmN89sm0GnF8HkyM6Q/348s.jpg
71. Equator,4.5,(33 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/vOxEGQNPz8R29B4ba2BITg/348s.jpg
72. Taverna Olympos,4.4,(29 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/PH-H1nraxdtEZVfW01ovyA/348s.jpg
73. Abacco’s Steakhouse,4.4,(11 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/3yte0FyTo5crjCfkSd4A3w/348s.jpg
74. Rembrandt Stuben,4.5,(15 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/BnUwn5eIQa566-OqajfDmw/348s.jpg
75. Senzanome,3.9,(20 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/PWqE-ZQR2sXu4uqoDGVnSw/348s.jpg
76. Il Pomodoro,3.9,(102 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/axRDnJFD2nTMvA8Ha_0JjQ/348s.jpg
77. Sophie´s Brauhaus,3.8,(9 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/VIKrbaxB4M28ROYfaJsNEg/348s.jpg
78. Jakova Burger,4.5,(2 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/ngnvIrWBK3ZInbDPHaLJtA/348s.jpg
79. Reiterstüble Gasthaus,4.6,(24 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/r-nH8rF7EPIicZ3gPhv7tw/348s.jpg
80. Gaststätte Mos Eisley,4.3,(30 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/V8K4j7-VJPj28GC9hZkPIQ/348s.jpg
81. Meister Lampe,4.7,(12 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/500p8zne83DwOn0xILWvpQ/348s.jpg
82. Lek’s,4.7,(10 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/clAaWQ42dg1Bs9zn1le6kQ/348s.jpg
83. La Medina,4.4,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/earEU6yM4ky98tiQsu5Dgg/348s.jpg
84. Viertel,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/0pceVw3VBZlCVopDN-Ts6Q/348s.jpg
85. Gasthaus zum Hirsch,4.3,(15 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/SNQ1vbKP39UHqcFc6O-7rQ/348s.jpg
86. Restaurant Van,4.0,(40 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/_h0x7ooT5Q4yQvDIiIardQ/348s.jpg
87. No.70 Finest Burger & Salads,4.6,(14 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/4XyskCzek5snUVRayFMtaw/348s.jpg
88. Rothaus im Gerber,4.0,(3 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/umMLTj-NUvgTg2aq-HZIyA/348s.jpg
89. Restaurant FINCH,4.4,(10 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/Wu0XwPeofB-_kUILXjoQzw/348s.jpg
90. Weinstube zum Tröpfle,4.8,(15 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/SmOxwUsCT5soT4FFyHkXZw/348s.jpg
91. German Classic Diner,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/tKW8UimkhpDNKJ7L51xHpw/348s.jpg
92. Kwan Kao,4.5,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/MJeqPlQhWxx0rNoi1j4iew/348s.jpg
93. Lúc Lác,4.1,(54 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/OwBOCJncjgnst7RwDbirrg/348s.jpg
94. Mikoto,3.9,(29 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/PHLjHDE3tAEMX2yDZZWGOw/348s.jpg
95. Esszimmer,4.0,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/MMWSSE--9_Xd6Tbf_RIF1g/348s.jpg
96. Sushi & Wok,4.0,(64 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/_OlfQk6aYxdSIx0wzmlKKw/348s.jpg
97. Netzer,5.0,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/UUJOv_RC7O7-rDgITUsrug/348s.jpg
98. Hola Mexicana,4.0,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/BeoBXbJ3kbnMP-GXqDswiQ/348s.jpg
99. Sakristei,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/xC2_pLMwhh5L5kwB1o-_jQ/348s.jpg
100. Zum Alten Besen,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/MZpBiJcCRe2_3FwBgrnjpA/348s.jpg
101. Ritzi,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/KMGx0AvAe4cQ8hMUEXRp_Q/348s.jpg
102. Tokio Dining,4.3,(50 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/f3Npks3qjxGobWZOT--a4g/348s.jpg
103. Waffel Dream,4.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/y9KRGC9p-R80AUsFCJzRwA/348s.jpg
104. Weinstube Zur Kiste,4.6,(21 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/tyLfo10QSyu1K_nCrHk6sg/348s.jpg
105. L’angolino,3.8,(16 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/sNPvye-88ufqIV2Mi6hUPA/348s.jpg
106. Biergarten im Schlossgarten,3.8,(44 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/ZEnT_r_RYBg_0wBnYpn4Ng/348s.jpg
107. Arslan’s Kebap Stuttgart West,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/8IRN5lrs8AOB1o685jK4wA/348s.jpg
108. Distelfarm,4.0,(9 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/CjmsVV-dd0EnruveYot4Tw/348s.jpg
109. Brasserie Bo.vin,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/ExJNFFO7Jh7HBBj874evxg/348s.jpg
110. Ochs’n Willi,3.7,(149 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/A-q5HwNZohxI3clFgEcoWg/348s.jpg
111. Bella Napoli,4.3,(25 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/FWk8V2ZaBn1Yl0ieAQiy7w/348s.jpg
112. Heslacher Weinstube,4.1,(41 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/K1XxxXwb2kK0kRLfXGi6rg/348s.jpg
113. Da Salvo,4.8,(12 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/BGnyiHIhKHIBf_wD0BNlCg/348s.jpg
114. Chito Gvrito,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/UB3GeVLywSVaWcnEHUFVPg/348s.jpg
115. Lamm Feuerbach,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/t5H2QldCjlblSgqKFWl0mw/348s.jpg
